,business_classification,business_impact,business_relevance,category_id,data_confidentiality,eoldriver,extensibility,geographical_scope,has_dependencies,id,io_intensity,latency_sensitivity,no_of_users,scalability,service_level,source_code_available,stage,type,user_facing,workload_variation,dependencies.Hardware.Dependent,dependencies.Operating.Environment.Dependent,dependencies.Operating.System.Dependent,IsPassPlatAvail,IsHarwareSupported,IsOSSupported,IsPlatformSupported,IsDatabaseSupported,pivot.disposition_1
15,BUSICRI,SOME_PROD,REVGEN,13,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,46,HIGH,MEDIUM,5,HORIZONTAL,NONE,1,EUMN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
16,PRODIMP,LARGE_FIN_COMP,REVSUP,10,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,49,HIGH,LOW,3,MIXED,NONE,1,EMAN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
17,NONCRI,SOME_FIN_PROD,RISKSUP,19,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,LOCAL,0,52,HIGH,MEDIUM,3,HORIZONTAL,PERF,1,EOL,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retire
18,BUSICRI,SOME_FIN_PROD,REVGEN,58,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,NATIONAL,0,55,LOW,MEDIUM,7,VERTICAL,BOTH,1,EUMN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
19,PRODIMP,SOME_FIN_PROD,INTSUP,13,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,58,HIGH,MEDIUM,5,MIXED,BOTH,0,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
20,BUSICRI,SOME_PROD,REVSUP,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,61,LOW,LOW,6,HORIZONTAL,AVAI,1,EOL,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retire
21,NONCRI,LARGE_FIN_COMP,INTSUP,67,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,64,LOW,MEDIUM,4,MIXED,AVAI,1,EUMN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
22,NONCRI,SOME_FIN_PROD,REVGEN,28,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,REGIONAL,0,67,MEDIUM,LOW,5,HORIZONTAL,NONE,0,EMAN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
23,BUSICRI,SOME_FIN_PROD,INTSUP,16,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,LOCAL,0,70,LOW,LOW,6,MIXED,BOTH,1,EMAN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
24,MISCRI,SOME_PROD,RISKSUP,7,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,73,HIGH,LOW,6,VERTICAL,BOTH,1,EMAN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
25,BUSICRI,LARGE_FIN_COMP,RISKSUP,4,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,LOCAL,0,76,HIGH,HIGH,3,MIXED,AVAI,0,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,0,0,1,1,Retain
26,BUSICRI,SOME_PROD,RISKSUP,13,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,INTERNATIONAL,0,79,LOW,MEDIUM,5,MIXED,AVAI,1,NEW,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
27,BUSICRI,SOME_FIN_PROD,REVSUP,13,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,82,LOW,MEDIUM,7,HORIZONTAL,PERF,1,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,0,0,1,1,Retain
28,BUSICRI,SOME_FIN_PROD,RISKSUP,28,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,85,LOW,HIGH,3,HORIZONTAL,NONE,1,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,0,1,1,1,Retain
29,BUSIIMP,SOME_FIN_PROD,REVGEN,49,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,88,LOW,LOW,7,VERTICAL,PERF,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
30,NONCRI,SOME_PROD,REVSUP,61,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,91,MEDIUM,HIGH,6,VERTICAL,BOTH,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
31,NONCRI,SOME_PROD,REVSUP,16,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,LOCAL,0,94,LOW,LOW,3,VERTICAL,BOTH,1,EMAN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
32,BUSICRI,SOME_FIN_PROD,REVSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,LOCAL,0,97,LOW,MEDIUM,5,HORIZONTAL,NONE,1,EMAN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
33,PRODIMP,LARGE_FIN_COMP,INTSUP,43,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,100,MEDIUM,MEDIUM,6,MIXED,AVAI,1,EMAN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
34,BUSICRI,SOME_FIN_PROD,INTSUP,52,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,INTERNATIONAL,0,103,HIGH,MEDIUM,3,MIXED,AVAI,0,EMAN,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
35,NONCRI,SOME_PROD,RISKSUP,40,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,LOCAL,0,106,LOW,LOW,4,VERTICAL,BOTH,0,EUMN,BATCH,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
36,BUSIIMP,SOME_FIN_PROD,RISKSUP,43,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,LOCAL,0,109,LOW,MEDIUM,6,HORIZONTAL,PERF,1,NEW,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
37,BUSICRI,SOME_FIN_PROD,REVGEN,16,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,NATIONAL,0,112,MEDIUM,HIGH,7,VERTICAL,AVAI,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
38,BUSIIMP,SOME_PROD,INTSUP,52,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,REGIONAL,0,115,HIGH,HIGH,6,HORIZONTAL,PERF,1,EOL,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retire
39,NONCRI,LARGE_FIN_COMP,INTSUP,22,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,NATIONAL,0,118,MEDIUM,HIGH,6,VERTICAL,BOTH,0,EOL,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retire
40,MISCRI,LARGE_FIN_COMP,INTSUP,25,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,121,MEDIUM,LOW,7,MIXED,AVAI,1,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
41,MISCRI,LARGE_FIN_COMP,INTSUP,43,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,NATIONAL,0,124,LOW,HIGH,4,VERTICAL,NONE,1,EUMN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
42,NONCRI,SOME_PROD,REVSUP,43,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,LOCAL,0,127,MEDIUM,LOW,6,MIXED,AVAI,0,EMAN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
43,MISCRI,LARGE_FIN_COMP,INTSUP,52,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,INTERNATIONAL,0,130,HIGH,HIGH,3,MIXED,AVAI,1,EMAN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
44,BUSICRI,SOME_PROD,RISKSUP,55,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,133,MEDIUM,LOW,7,VERTICAL,AVAI,0,NEW,THICK,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
45,BUSIIMP,LARGE_FIN_COMP,RISKSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,136,HIGH,MEDIUM,5,VERTICAL,BOTH,1,EMAN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
46,MISCRI,LARGE_FIN_COMP,REVGEN,52,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,LOCAL,0,139,MEDIUM,LOW,7,HORIZONTAL,AVAI,1,EUMN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
47,NONCRI,SOME_PROD,REVGEN,40,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,INTERNATIONAL,0,142,HIGH,MEDIUM,5,VERTICAL,AVAI,1,NEW,THICK,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
48,BUSIIMP,LARGE_FIN_COMP,REVGEN,52,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,REGIONAL,0,145,HIGH,MEDIUM,6,MIXED,AVAI,0,EOL,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retire
49,BUSICRI,LARGE_FIN_COMP,REVSUP,55,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,148,HIGH,LOW,6,VERTICAL,PERF,1,EOL,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retire
50,BUSICRI,LARGE_FIN_COMP,REVSUP,37,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,151,MEDIUM,LOW,6,HORIZONTAL,NONE,1,NEW,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
51,NONCRI,SOME_PROD,INTSUP,10,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,LOCAL,0,154,MEDIUM,MEDIUM,3,MIXED,PERF,0,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
52,MISCRI,SOME_PROD,REVSUP,4,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,LOCAL,0,157,LOW,HIGH,6,HORIZONTAL,PERF,1,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
53,BUSICRI,LARGE_FIN_COMP,INTSUP,52,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,INTERNATIONAL,0,160,MEDIUM,MEDIUM,5,MIXED,PERF,0,EMAN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
54,PRODIMP,LARGE_FIN_COMP,REVGEN,22,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,NATIONAL,0,163,HIGH,MEDIUM,3,MIXED,BOTH,0,EMAN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
55,BUSICRI,LARGE_FIN_COMP,REVGEN,43,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,166,HIGH,HIGH,7,MIXED,PERF,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
56,NONCRI,SOME_PROD,INTSUP,67,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,169,MEDIUM,MEDIUM,7,MIXED,PERF,1,EMAN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
57,PRODIMP,SOME_FIN_PROD,REVSUP,7,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,172,LOW,MEDIUM,7,VERTICAL,BOTH,1,NEW,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
58,BUSIIMP,SOME_PROD,REVSUP,64,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,175,HIGH,LOW,4,MIXED,BOTH,1,NEW,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
59,BUSIIMP,SOME_PROD,INTSUP,61,APPROVED_PUBLIC_DATACENTER,BU,SOA,INTERNATIONAL,0,178,MEDIUM,LOW,7,MIXED,PERF,1,EMAN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
60,BUSIIMP,SOME_PROD,RISKSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,181,MEDIUM,HIGH,3,HORIZONTAL,NONE,1,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
61,NONCRI,SOME_PROD,REVGEN,49,APPROVED_PUBLIC_DATACENTER,TE,SOA,INTERNATIONAL,0,184,HIGH,LOW,6,VERTICAL,AVAI,0,EUMN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
62,MISCRI,SOME_PROD,REVGEN,55,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,187,MEDIUM,MEDIUM,3,HORIZONTAL,AVAI,1,EUMN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
63,BUSICRI,SOME_FIN_PROD,INTSUP,10,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,190,MEDIUM,MEDIUM,7,HORIZONTAL,PERF,0,NEW,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
64,BUSIIMP,SOME_PROD,RISKSUP,37,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,193,HIGH,HIGH,6,HORIZONTAL,BOTH,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,0,0,1,1,Retain
65,PRODIMP,LARGE_FIN_COMP,RISKSUP,16,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,196,MEDIUM,MEDIUM,4,MIXED,AVAI,0,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,0,0,1,1,Retain
66,BUSICRI,SOME_FIN_PROD,REVSUP,49,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,199,HIGH,MEDIUM,4,MIXED,PERF,1,EMAN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
67,BUSICRI,SOME_FIN_PROD,REVGEN,67,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,LOCAL,0,202,LOW,MEDIUM,7,HORIZONTAL,BOTH,1,NEW,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
68,PRODIMP,SOME_FIN_PROD,INTSUP,67,NOT_OUTSIDE_ENT_FIREWALL,TE,SOA,NATIONAL,0,205,HIGH,LOW,6,MIXED,AVAI,0,EMAN,BATCH,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
69,PRODIMP,SOME_PROD,INTSUP,28,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,LOCAL,0,208,MEDIUM,MEDIUM,6,VERTICAL,BOTH,1,EUMN,BATCH,INTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
70,MISCRI,SOME_FIN_PROD,RISKSUP,19,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,INTERNATIONAL,0,211,MEDIUM,LOW,6,MIXED,PERF,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
71,BUSIIMP,LARGE_FIN_COMP,RISKSUP,52,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,REGIONAL,0,214,MEDIUM,HIGH,6,HORIZONTAL,PERF,1,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
72,BUSICRI,SOME_FIN_PROD,RISKSUP,43,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,NATIONAL,0,217,HIGH,HIGH,5,VERTICAL,NONE,1,EUMN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
73,PRODIMP,SOME_PROD,REVGEN,49,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,220,HIGH,LOW,6,HORIZONTAL,BOTH,1,EMAN,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
74,PRODIMP,LARGE_FIN_COMP,REVSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,NATIONAL,0,223,HIGH,HIGH,3,MIXED,NONE,0,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
75,NONCRI,SOME_PROD,REVGEN,7,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,226,HIGH,MEDIUM,5,MIXED,BOTH,1,EUMN,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
76,BUSIIMP,SOME_FIN_PROD,INTSUP,52,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,229,MEDIUM,MEDIUM,6,MIXED,BOTH,1,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
77,NONCRI,SOME_FIN_PROD,REVGEN,19,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,NATIONAL,0,232,LOW,LOW,4,MIXED,AVAI,0,NEW,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
78,NONCRI,LARGE_FIN_COMP,INTSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,235,HIGH,MEDIUM,3,MIXED,PERF,0,EUMN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
79,NONCRI,SOME_FIN_PROD,REVSUP,52,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,238,LOW,LOW,4,HORIZONTAL,AVAI,0,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
80,NONCRI,SOME_FIN_PROD,RISKSUP,28,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,INTERNATIONAL,0,241,MEDIUM,HIGH,3,VERTICAL,AVAI,1,EMAN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
81,MISCRI,SOME_FIN_PROD,REVGEN,10,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,244,LOW,HIGH,5,MIXED,AVAI,1,EMAN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
82,NONCRI,SOME_FIN_PROD,REVGEN,49,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,247,HIGH,MEDIUM,3,HORIZONTAL,BOTH,0,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
83,PRODIMP,SOME_FIN_PROD,RISKSUP,58,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,INTERNATIONAL,0,250,HIGH,LOW,6,MIXED,NONE,0,EMAN,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
84,BUSICRI,SOME_FIN_PROD,INTSUP,58,APPROVED_PUBLIC_DATACENTER,BU,SOA,REGIONAL,0,253,HIGH,MEDIUM,3,MIXED,NONE,1,EMAN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
85,MISCRI,SOME_PROD,REVGEN,64,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,INTERNATIONAL,0,256,MEDIUM,HIGH,4,VERTICAL,NONE,1,EUMN,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
86,PRODIMP,LARGE_FIN_COMP,REVSUP,19,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,NATIONAL,0,259,HIGH,LOW,6,MIXED,BOTH,0,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
87,PRODIMP,LARGE_FIN_COMP,REVSUP,67,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,NATIONAL,0,262,HIGH,LOW,7,MIXED,BOTH,0,EMAN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
88,PRODIMP,SOME_PROD,REVGEN,61,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,265,MEDIUM,MEDIUM,7,HORIZONTAL,NONE,0,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
89,MISCRI,LARGE_FIN_COMP,REVSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,268,HIGH,HIGH,3,HORIZONTAL,NONE,0,NEW,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
90,MISCRI,LARGE_FIN_COMP,REVGEN,10,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,REGIONAL,0,271,LOW,LOW,5,MIXED,BOTH,0,EUMN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
91,PRODIMP,SOME_FIN_PROD,REVSUP,37,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,NATIONAL,0,274,MEDIUM,LOW,4,MIXED,AVAI,1,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
92,PRODIMP,LARGE_FIN_COMP,INTSUP,34,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,277,MEDIUM,HIGH,6,VERTICAL,NONE,1,EMAN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Develop
93,NONCRI,SOME_FIN_PROD,REVSUP,25,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,INTERNATIONAL,0,280,MEDIUM,MEDIUM,4,MIXED,NONE,1,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
